"longitude","latitude"
-122.27509,47.7166
-122.27515,47.72086
-122.2753,47.72968
-122.2753,47.73169
-122.27537,47.73615
-122.27536,47.73811
-122.27544,47.74249
-122.27543,47.74461
-122.45526,47.72937
-122.2755,47.74663
-122.27551,47.74858
-122.2755,47.75075
-122.27558,47.75287
-122.27557,47.75482
-122.27563,47.75684
-122.27565,47.75859
-122.27565,47.76064
-122.27563,47.76256
-122.2757,47.76443
-122.2757,47.76645
-122.27577,47.76851
-122.27586,47.77703
-122.27584,47.77895
-122.27586,47.78089
-122.27593,47.78317
-122.27593,47.78503
-122.27593,47.78685
-122.27598,47.78883
-122.27605,47.79089
-122.27605,47.7952
-122.2784,47.92036
-122.27859,47.92149
-122.27868,47.92241
-122.27889,47.92423
-122.27962,47.92836
-122.28086,47.93451
-122.28133,47.9366
-122.28544,47.95039
-122.28607,47.95244
-122.28671,47.95453
-122.28727,47.9563
-122.2879,47.95826
-122.28909,47.9621
-122.28971,47.96407
-122.29033,47.96603
-122.29095,47.968
-122.29156,47.96997
-122.29479,47.98041
-122.29534,47.98238
-122.296,47.98446
-122.29657,47.98647
-122.29788,47.99071
-122.2985,47.9929
-122.29919,47.9951
-122.2998,47.99707
-122.30042,47.99931
-122.30657,48.01984
-122.30708,48.02156
-122.30763,48.02357
-122.30826,48.02552
-122.31185,48.03781
-122.31251,48.03996
-122.31361,48.04385
-122.31429,48.0461
-122.27289,47.8076
-122.27354,47.72773
-122.08318,47.29437
-122.27406,47.72823
-122.08367,47.29582
-122.27447,47.72855
-122.0843,47.29805
-122.21514,47.55592
-122.08488,47.29985
-122.21544,47.55744
-122.08537,47.3015
-122.21572,47.55921
-122.08598,47.30351
-122.21597,47.56068
-122.08653,47.30511
-122.08705,47.30685
-122.28305,47.71902
-122.08873,47.31244
-122.21761,47.57066
-122.08983,47.31596
-122.09043,47.31784
-122.09168,47.32187
-122.09219,47.32361
-122.09278,47.32544
-122.09332,47.32729
-122.21967,47.58275
-122.09374,47.32873
-122.21994,47.5843
-122.09444,47.33092
-122.22015,47.58577
-122.09505,47.33276
-122.09557,47.33464
-122.221,47.59091
-122.09615,47.33652
-122.22121,47.59184
-122.22128,47.59263
-122.22149,47.59361
-122.22166,47.59456
-122.22173,47.59534
-122.09779,47.34169
-122.22187,47.59621
-122.22201,47.59689
-122.22215,47.59776
-122.22227,47.59864
-122.22242,47.59932
-122.22256,47.60028
-122.22269,47.60106
-122.22297,47.60288
-122.22353,47.60623
-122.22379,47.6077
-122.22414,47.60971
-122.22445,47.61153
-122.22537,47.61703
-122.22565,47.61859
-122.22593,47.62043
-122.22606,47.6212
-122.22626,47.62207
-122.2264,47.62289
-122.22656,47.62392
-122.22684,47.62583
-122.22716,47.62756
-122.22734,47.62853
-122.2275,47.62953
-122.22778,47.63132
-122.22868,47.63663
-122.22903,47.63849
-122.22959,47.64189
-122.22977,47.64285
-122.2299,47.64363
-122.23008,47.64459
-122.23022,47.64542
-122.23051,47.64724
-122.23079,47.64906
-122.23114,47.65082
-122.23135,47.65219
-122.23163,47.65399
-122.23191,47.65548
-122.2322,47.65716
-122.23248,47.65878
-122.23276,47.6606
-122.23304,47.66228
-122.23332,47.66391
-122.23347,47.66492
-122.23368,47.66592
-122.23382,47.66679
-122.23396,47.66782
-122.23424,47.66944
-122.12212,47.42062
-122.23452,47.67121
-122.12283,47.42281
-122.2348,47.67284
-122.23508,47.67447
-122.12395,47.42654
-122.2354,47.67618
-122.2356,47.67773
-122.23595,47.67943
-122.23615,47.68103
-122.1267,47.43538
-122.23713,47.68662
-122.23741,47.68835
-122.23769,47.69007
-122.23797,47.6917
